Index,Time,((Motor_shooterMotorLeft).encoder).speed,((Shoot_Control).shoot_speed).referee_bullet_speed[0],((Shoot_Control).shoot_left).fdb,((Shoot_Control).shoot_right).fdb,((Motor_shooterMotorRight).encoder).speed,shoot_diff_tick
176,0.176092,0,29.6499996,0,0,0,47
177,0.177093,0,29.6499996,0,0,0,47
178,0.178091,0,29.6499996,0,0,0,47
179,0.179086,0,29.6499996,0,0,0,47
180,0.180093,0,29.6499996,0,0,0,47
181,0.181085,0,29.6499996,0,0,0,47
182,0.182093,0,29.6499996,0,0,0,47
183,0.183085,0,29.6499996,0,0,0,47
184,0.184098,0,29.6499996,0,0,0,47
185,0.185103,0,29.6499996,0,0,0,47
186,0.186092,0,29.6499996,0,0,0,47
187,0.187085,0,29.6499996,0,0,0,47
188,0.188092,0,29.6499996,0,0,0,47
189,0.189087,0,29.6499996,0,0,0,47
190,0.190085,0,29.6499996,0,0,0,47
191,0.191087,0,29.6499996,0,0,0,47
192,0.192085,0,29.6499996,0,0,0,47
193,0.193086,0,29.6499996,0,0,0,47
194,0.194093,0,29.6499996,0,0,0,47
195,0.195086,0,29.6499996,0,0,0,47
196,0.196101,0,29.6499996,0,0,0,47
197,0.197091,0,29.6499996,0,0,0,47
198,0.198093,0,29.6499996,0,0,0,47
199,0.199086,0,29.6499996,0,0,0,47
200,0.200088,0,29.6499996,0,0,0,47
201,0.201087,0,29.6499996,0,0,0,47
202,0.202088,0,29.6499996,0,0,0,47
203,0.203087,0,29.6499996,0,0,0,47
204,0.204089,0,29.6499996,0,0,0,47
205,0.205087,0,29.6499996,0,0,0,47
206,0.206113,0,29.6499996,0,0,0,47
207,0.207101,0,29.6499996,0,0,0,47
208,0.208091,0,29.6499996,0,0,0,47
209,0.209112,0,29.6499996,0,0,0,47
210,0.210106,0,29.6499996,0,0,0,47
211,0.211086,0,29.6499996,0,0,0,47
212,0.212089,0,29.6499996,0,0,0,47
213,0.213087,0,29.6499996,0,0,0,47
214,0.214089,0,29.6499996,0,0,0,47
215,0.215088,0,29.6499996,0,0,0,47
216,0.216090,0,29.6499996,0,0,0,47
217,0.217088,0,29.6499996,0,0,0,47
218,0.218138,0,29.6499996,0,0,0,47
219,0.219088,0,29.6499996,0,0,0,47
220,0.220089,0,29.6499996,0,0,0,47
221,0.221091,0,29.6499996,0,0,0,47
222,0.222090,0,29.6499996,0,0,0,47
223,0.223092,0,29.6499996,0,0,0,47
224,0.224090,0,29.6499996,0,0,0,47
225,0.225092,0,29.6499996,0,0,0,47
226,0.226089,0,29.6499996,0,0,0,47
227,0.227090,0,29.6499996,0,0,0,47
228,0.228088,0,29.6499996,0,0,0,47
229,0.229117,0,29.6499996,0,0,0,47
230,0.230101,0,29.6499996,0,0,0,47
231,0.231091,0,29.6499996,0,0,0,47
232,0.232092,0,29.6499996,0,0,0,47
233,0.233090,0,29.6499996,0,0,0,47
234,0.234099,0,29.6499996,0,0,0,47
235,0.235091,0,29.6499996,0,0,0,47
236,0.236092,0,29.6499996,0,0,0,47
237,0.237090,0,29.6499996,0,0,0,47
238,0.238092,0,29.6499996,0,0,0,47
239,0.239093,0,29.6499996,0,0,0,47
240,0.240085,0,29.6499996,0,0,0,47
241,0.241092,0,29.6499996,0,0,0,47
242,0.242085,0,29.6499996,0,0,0,47
243,0.243092,0,29.6499996,0,0,0,47
244,0.244093,0,29.6499996,0,0,0,47
245,0.245091,0,29.6499996,0,0,0,47
246,0.246093,0,29.6499996,0,0,0,47
247,0.247091,0,29.6499996,0,0,0,47
248,0.248092,0,29.6499996,0,0,0,47
249,0.249093,0,29.6499996,0,0,0,47
250,0.250086,0,29.6499996,0,0,0,47
251,0.251093,0,29.6499996,0,0,0,47
252,0.252085,0,29.6499996,0,0,0,47
253,0.253092,0,29.6499996,0,0,0,47
254,0.254093,0,29.6499996,0,0,0,47
255,0.255091,0,29.6499996,0,0,0,47
256,0.256093,0,29.6499996,0,0,0,47
257,0.257091,0,29.6499996,0,0,0,47
258,0.258092,0,29.6499996,0,0,0,47
259,0.259093,0,29.6499996,0,0,0,47
260,0.260086,0,29.6499996,0,0,0,47
261,0.261108,0,29.6499996,0,0,0,47
262,0.262093,0,29.6499996,0,0,0,47
263,0.263101,0,29.6499996,0,0,0,47
264,0.264091,0,29.6499996,0,0,0,47
265,0.265093,0,29.6499996,0,0,0,47
266,0.266092,0,29.6499996,0,0,0,47
267,0.267093,0,29.6499996,0,0,0,47
268,0.268092,0,29.6499996,0,0,0,47
269,0.269088,0,29.6499996,0,0,0,47
270,0.270086,0,29.6499996,0,0,0,47
271,0.271088,0,29.6499996,0,0,0,47
272,0.272111,0,29.6499996,0,0,0,47
273,0.273107,0,29.6499996,0,0,0,47
274,0.274088,0,29.6499996,0,0,0,47
275,0.275090,0,29.6499996,0,0,0,47
276,0.276089,0,29.6499996,0,0,0,47
277,0.277091,0,29.6499996,0,0,0,47
278,0.278089,0,29.6499996,0,0,0,47
279,0.279085,0,29.6499996,0,0,0,47
280,0.280093,0,29.6499996,0,0,0,47
281,0.281086,0,29.6499996,0,0,0,47
282,0.282093,0,29.6499996,0,0,0,47
283,0.283110,0,29.6499996,0,0,0,47
284,0.284102,0,29.6499996,0,0,0,47
285,0.285092,0,29.6499996,0,0,0,47
286,0.286085,0,29.6499996,0,0,0,47
287,0.287093,0,29.6499996,0,0,0,47
288,0.288086,0,29.6499996,0,0,0,47
289,0.289087,0,29.6499996,0,0,0,47
290,0.290089,0,29.6499996,0,0,0,47
291,0.291087,0,29.6499996,0,0,0,47
292,0.292088,0,29.6499996,0,0,0,47
293,0.293085,0,29.6499996,0,0,0,47
294,0.294087,0,29.6499996,0,0,0,47
295,0.295155,0,29.6499996,0,0,0,47
296,0.296091,0,29.6499996,0,0,0,47
297,0.297092,0,29.6499996,0,0,0,47
