Index,Time,((Shoot_Control).feed_ang).ref,((Shoot_Control).feed_ang).fdb,(AutoAim_Control).buff_pitch
742,0.742089,0,0,0
743,0.743105,0,0,0
744,0.744089,0,0,0
745,0.745085,0,0,0
746,0.746085,0,0,0
747,0.747089,0,0,0
748,0.748092,0,0,0
749,0.749089,0,0,0
750,0.750089,0,0,0
751,0.751085,0,0,0
752,0.752085,0,0,0
753,0.753089,0,0,0
754,0.754107,0,0,0
755,0.755091,0,0,0
756,0.756087,0,0,0
757,0.757087,0,0,0
758,0.758087,0,0,0
759,0.759087,0,0,0
760,0.760091,0,0,0
761,0.761091,0,0,0
762,0.762087,0,0,0
763,0.763087,0,0,0
764,0.764091,0,0,0
765,0.765091,0,0,0
766,0.766100,0,0,0
767,0.767091,0,0,0
768,0.768089,0,0,0
769,0.769088,0,0,0
770,0.770091,0,0,0
771,0.771090,0,0,0
772,0.772086,0,0,0
773,0.773100,0,0,0
774,0.774091,0,0,0
775,0.775087,0,0,0
776,0.776190,0,0,0
777,0.777091,0,0,0
778,0.778085,0,0,0
779,0.779089,0,0,0
780,0.780088,0,0,0
781,0.781092,0,0,0
782,0.782091,0,0,0
783,0.783086,0,0,0
784,0.784086,0,0,0
785,0.785089,0,0,0
786,0.786088,0,0,0
787,0.787101,0,0,0
788,0.788087,0,0,0
789,0.789091,0,0,0
790,0.790090,0,0,0
791,0.791086,0,0,0
792,0.792085,0,0,0
793,0.793088,0,0,0
794,0.794087,0,0,0
795,0.795091,0,0,0
796,0.796090,0,0,0
797,0.797085,0,0,0
798,0.798103,0,0,0
799,0.799087,0,0,0
800,0.800091,0,0,0
801,0.801090,0,0,0
802,0.802086,0,0,0
803,0.803085,0,0,0
804,0.804090,0,0,0
805,0.805090,0,0,0
806,0.806086,0,0,0
807,0.807086,0,0,0
808,0.808085,0,0,0
809,0.809102,0,0,0
810,0.810086,0,0,0
811,0.811090,0,0,0
812,0.812090,0,0,0
813,0.813086,0,0,0
814,0.814087,0,0,0
815,0.815091,0,0,0
816,0.816091,0,0,0
817,0.817087,0,0,0
818,0.818090,0,0,0
819,0.819103,0,0,0
820,0.820087,0,0,0
821,0.821091,0,0,0
822,0.822091,0,0,0
823,0.823087,0,0,0
824,0.824087,0,0,0
825,0.825092,0,0,0
826,0.826103,0,0,0
827,0.827087,0,0,0
828,0.828087,0,0,0
829,0.829111,0,0,0
830,0.830102,0,0,0
831,0.831086,0,0,0
832,0.832090,0,0,0
833,0.833089,0,0,0
834,0.834091,0,0,0
835,0.835090,0,0,0
836,0.836086,0,0,0
837,0.837085,0,0,0
838,0.838091,0,0,0
839,0.839090,0,0,0
840,0.840086,0,0,0
841,0.841109,0,0,0
842,0.842102,0,0,0
843,0.843085,0,0,0
844,0.844089,0,0,0
845,0.845088,0,0,0
846,0.846091,0,0,0
847,0.847091,0,0,0
848,0.848089,0,0,0
849,0.849088,0,0,0
850,0.850092,0,0,0
851,0.851091,0,0,0
852,0.852086,0,0,0
853,0.853104,0,0,0
854,0.854088,0,0,0
855,0.855091,0,0,0
856,0.856091,0,0,0
857,0.857086,0,0,0
858,0.858088,0,0,0
859,0.859092,0,0,0
860,0.860091,0,0,0
861,0.861086,0,0,0
862,0.862085,0,0,0
863,0.863089,0,0,0
864,0.864100,0,0,0
865,0.865091,0,0,0
866,0.866087,0,0,0
867,0.867086,0,0,0
868,0.868085,0,0,0
869,0.869085,0,0,0
870,0.870089,0,0,0
871,0.871089,0,0,0
872,0.872085,0,0,0
873,0.873085,0,0,0
874,0.874103,0,0,0
875,0.875087,0,0,0
876,0.876091,0,0,0
877,0.877091,0,0,0
878,0.878105,0,0,0
879,0.879089,0,0,0
880,0.880085,0,0,0
881,0.881085,0,0,0
882,0.882090,0,0,0
883,0.883089,0,0,0
884,0.884086,0,0,0
885,0.885100,0,0,0
886,0.886092,0,0,0
887,0.887088,0,0,0
888,0.888091,0,0,0
889,0.889087,0,0,0
890,0.890087,0,0,0
891,0.891092,0,0,0
892,0.892091,0,0,0
893,0.893088,0,0,0
894,0.894088,0,0,0
895,0.895092,0,0,0
896,0.896103,0,0,0
897,0.897087,0,0,0
898,0.898085,0,0,0
899,0.899092,0,0,0
900,0.900087,0,0,0
901,0.901086,0,0,0
902,0.902089,0,0,0
903,0.903088,0,0,0
904,0.904092,0,0,0
905,0.905091,0,0,0
906,0.906100,0,0,0
907,0.907092,0,0,0
908,0.908090,0,0,0
909,0.909089,0,0,0
910,0.910085,0,0,0
911,0.911092,0,0,0
912,0.912087,0,0,0
913,0.913087,0,0,0
914,0.914090,0,0,0
915,0.915089,0,0,0
916,0.916093,0,0,0
917,0.917104,0,0,0
918,0.918091,0,0,0
919,0.919087,0,0,0
920,0.920086,0,0,0
921,0.921089,0,0,0
922,0.922088,0,0,0
923,0.923092,0,0,0
924,0.924091,0,0,0
925,0.925086,0,0,0
926,0.926085,0,0,0
927,0.927089,0,0,0
928,0.928091,0,0,0
929,0.929125,0,0,0
930,0.930106,0,0,0
931,0.931089,0,0,0
932,0.932085,0,0,0
933,0.933085,0,0,0
934,0.934089,0,0,0
935,0.935089,0,0,0
936,0.936085,0,0,0
937,0.937085,0,0,0
938,0.938092,0,0,0
939,0.939116,0,0,0
940,0.940105,0,0,0
941,0.941088,0,0,0
942,0.942085,0,0,0
943,0.943085,0,0,0
944,0.944090,0,0,0
945,0.945089,0,0,0
946,0.946086,0,0,0
947,0.947085,0,0,0
948,0.948085,0,0,0
949,0.949085,0,0,0
950,0.950099,0,0,0
951,0.951091,0,0,0
952,0.952088,0,0,0
953,0.953088,0,0,0
954,0.954092,0,0,0
955,0.955092,0,0,0
956,0.956088,0,0,0
957,0.957088,0,0,0
958,0.958088,0,0,0
959,0.959088,0,0,0
960,0.960092,0,0,0
961,0.961092,0,0,0
962,0.962099,0,0,0
963,0.963091,0,0,0
964,0.964086,0,0,0
965,0.965085,0,0,0
966,0.966088,0,0,0
967,0.967088,0,0,0
968,0.968086,0,0,0
969,0.969085,0,0,0
970,0.970088,0,0,0
971,0.971088,0,0,0
972,0.972091,0,0,0
973,0.973104,0,0,0
974,0.974087,0,0,0
975,0.975091,0,0,0
976,0.976090,0,0,0
977,0.977085,0,0,0
978,0.978088,0,0,0
979,0.979091,0,0,0
980,0.980090,0,0,0
981,0.981086,0,0,0
982,0.982085,0,0,0
983,0.983102,0,0,0
984,0.984086,0,0,0
985,0.985090,0,0,0
986,0.986089,0,0,0
987,0.987092,0,0,0
988,0.988086,0,0,0
989,0.989102,0,0,0
990,0.990086,0,0,0
991,0.991090,0,0,0
992,0.992089,0,0,0
993,0.993103,0,0,0
994,0.994086,0,0,0
995,0.995090,0,0,0
996,0.996089,0,0,0
997,0.997092,0,0,0
998,0.998087,0,0,0
999,0.999091,0,0,0
1000,1.000091,0,0,0
1001,1.001087,0,0,0
1002,1.002087,0,0,0
1003,1.003091,0,0,0
1004,1.004107,0,0,0
1005,1.005091,0,0,0
1006,1.006088,0,0,0
1007,1.007088,0,0,0
1008,1.008087,0,0,0
1009,1.009087,0,0,0
1010,1.010091,0,0,0
1011,1.011091,0,0,0
1012,1.012087,0,0,0
1013,1.013087,0,0,0
1014,1.014105,0,0,0
1015,1.015088,0,0,0
1016,1.016085,0,0,0
1017,1.017085,0,0,0
1018,1.018092,0,0,0
1019,1.019092,0,0,0
1020,1.020088,0,0,0
1021,1.021088,0,0,0
1022,1.022085,0,0,0
1023,1.023085,0,0,0
1024,1.024089,0,0,0
1025,1.025104,0,0,0
1026,1.026087,0,0,0
1027,1.027092,0,0,0
1028,1.028087,0,0,0
1029,1.029090,0,0,0
1030,1.030089,0,0,0
1031,1.031092,0,0,0
1032,1.032091,0,0,0
1033,1.033086,0,0,0
1034,1.034085,0,0,0
1035,1.035099,0,0,0
1036,1.036090,0,0,0
1037,1.037086,0,0,0
1038,1.038089,0,0,0
1039,1.039092,0,0,0
1040,1.040091,0,0,0
1041,1.041087,0,0,0
1042,1.042086,0,0,0
1043,1.043089,0,0,0
1044,1.044088,0,0,0
1045,1.045092,0,0,0
1046,1.046104,0,0,0
1047,1.047102,0,0,0
1048,1.048089,0,0,0
