Index,Time,(MiniPC_Data).is_shoot,(MiniPC_Data).buff_yaw,(MiniPC_Data).buff_pitch,((Shoot_Control).feed_ang).ref
7414,7.414089,1,-5292,-1637,1100.72925
7415,7.415125,1,-5292,-1637,1100.72925
7416,7.416088,1,-5292,-1637,1100.72925
7417,7.417093,1,-5292,-1637,1100.72925
7418,7.418090,1,-5292,-1637,1100.72925
7419,7.419092,1,-5292,-1637,1100.72925
7420,7.420090,1,-5292,-1637,1100.72925
7421,7.421090,1,-5292,-1637,1100.72925
7422,7.422086,1,-5292,-1637,1100.72925
7423,7.423087,1,-5292,-1637,1100.72925
7424,7.424092,1,-5292,-1637,1100.72925
7425,7.425093,1,-5292,-1637,1100.72925
7426,7.426089,1,-5292,-1637,1100.72925
7427,7.427114,1,-5292,-1637,1100.72925
7428,7.428104,1,-5292,-1637,1100.72925
7429,7.429087,1,-5292,-1637,1100.72925
7430,7.430086,1,-5292,-1637,1100.72925
7431,7.431087,1,-5292,-1637,1100.72925
7432,7.432091,1,-5292,-1637,1100.72925
7433,7.433092,1,-5292,-1637,1100.72925
7434,7.434089,1,-5292,-1637,1100.72925
7435,7.435090,1,-5292,-1637,1100.72925
7436,7.436085,1,-5292,-1637,1100.72925
7437,7.437086,1,-5281,-1633,1100.72925
7438,7.438091,1,-5281,-1633,1100.72925
7439,7.439100,1,-5281,-1633,1100.72925
7440,7.440086,1,-5281,-1633,1100.72925
7441,7.441091,1,-5281,-1633,1100.72925
7442,7.442117,1,-5281,-1633,1100.72925
7443,7.443102,1,-5281,-1633,1100.72925
7444,7.444088,1,-5281,-1633,1100.72925
7445,7.445092,1,-5281,-1633,1100.72925
7446,7.446093,1,-5281,-1633,1100.72925
7447,7.447089,1,-5281,-1633,1100.72925
7448,7.448090,1,-5281,-1633,1100.72925
7449,7.449086,1,-5281,-1633,1100.72925
7450,7.450091,1,-5281,-1633,1100.72925
7451,7.451105,1,-5281,-1633,1100.72925
7452,7.452091,1,-5281,-1633,1100.72925
7453,7.453087,1,-5281,-1633,1100.72925
7454,7.454088,1,-5281,-1633,1100.72925
7455,7.455093,1,-5281,-1633,1100.72925
7456,7.456086,1,-5281,-1633,1100.72925
7457,7.457091,1,-5281,-1633,1100.72925
7458,7.458093,1,-5281,-1633,1100.72925
7459,7.459089,1,-5281,-1633,1100.72925
7460,7.460085,1,-5281,-1633,1100.72925
7461,7.461091,1,-5281,-1633,1100.72925
7462,7.462092,1,-5281,-1633,1100.72925
7463,7.463104,1,-5281,-1633,1100.72925
7464,7.464088,1,-5292,-1634,1100.72925
7465,7.465085,1,-5292,-1634,1100.72925
7466,7.466087,1,-5292,-1634,1100.72925
7467,7.467092,1,-5292,-1634,1100.72925
7468,7.468085,1,-5292,-1634,1100.72925
7469,7.469090,1,-5292,-1634,1100.72925
7470,7.470086,1,-5292,-1634,1100.72925
7471,7.471091,1,-5292,-1634,1100.72925
7472,7.472093,1,-5292,-1634,1100.72925
7473,7.473089,1,-5292,-1634,1100.72925
