Index,Time,(GimbalYaw_Control).present_mode,(GimbalYaw_Control).last_mode,(GimbalYaw_Control).yaw_ref,(GimbalYaw_Control).yaw_position_fdb
38973,38.977382,1,1,0.0104719754,0.0072139767
38974,38.978389,1,1,0.0104719754,0.0072139767
38975,38.979384,1,1,0.0104719754,0.0072139767
38976,38.980382,1,1,0.0104719754,0.00721783424
38977,38.981385,1,1,0.0104719754,0.00721783424
38978,38.982384,1,1,0.0104719754,0.00721783424
38979,38.983387,1,1,0.0104719754,0.00721783424
38980,38.984388,1,1,0.0104719754,0.00720994547
38981,38.985383,1,1,0.0104719754,0.00720994547
38982,38.986402,1,1,0.0104719754,0.00720994547
38983,38.987389,1,1,0.0104719754,0.00721918419
38984,38.988388,1,1,0.0104719754,0.00721918419
38985,38.989383,1,1,0.0104719754,0.00721918419
38986,38.990397,1,1,0.0104719754,0.00721918419
38987,38.991385,1,1,0.0104719754,0.00721918419
38988,38.992384,1,1,0.0104719754,0.00721025001
38989,38.993386,1,1,0.0104719754,0.00721025001
38990,38.994388,1,1,0.0104719754,0.00721025001
38991,38.995383,1,1,0.0104719754,0.00721025001
38992,38.996389,1,1,0.0104719754,0.00723856967
38993,38.997384,1,1,0.0104719754,0.00723856967
38994,38.998401,1,1,0.0104719754,0.00723856967
38995,38.999388,1,1,0.0104719754,0.00723856967
38996,39.000387,1,1,0.0104719754,0.00724532874
38997,39.001382,1,1,0.0104719754,0.00724532874
38998,39.002388,1,1,0.0104719754,0.00724532874
38999,39.003383,1,1,0.0104719754,0.00724532874
39000,39.004385,1,1,0.0104719754,0.00726298476
39001,39.005388,1,1,0.0104719754,0.00726298476
39002,39.006386,1,1,0.0104719754,0.00726298476
39003,39.007389,1,1,0.0104719754,0.00726298476
39004,39.008449,1,1,0.0104719754,0.0072604483
39005,39.009388,1,1,0.0104719754,0.0072604483
39006,39.010382,1,1,0.0104719754,0.0072604483
39007,39.011387,1,1,0.0104719754,0.0072631198
39008,39.012382,1,1,0.0104719754,0.0072631198
39009,39.013387,1,1,0.0104719754,0.0072631198
39010,39.014385,1,1,0.0104719754,0.0072631198
39011,39.015382,1,1,0.0104719754,0.0072631198
39012,39.016385,1,1,0.0104719754,0.00728496443
39013,39.017383,1,1,0.0104719754,0.00728496443
39014,39.018410,1,1,0.0104719754,0.00728496443
39015,39.019398,1,1,0.0104719754,0.00728496443
39016,39.020385,1,1,0.0104719754,0.0073125069
39017,39.021383,1,1,0.0104719754,0.0073125069
39018,39.022385,1,1,0.0104719754,0.0073125069
39019,39.023383,1,1,0.0104719754,0.00729703391
39020,39.024388,1,1,0.0104719754,0.00729703391
39021,39.025386,1,1,0.0104719754,0.00729703391
39022,39.026388,1,1,0.0104719754,0.00729703391
39023,39.027386,1,1,0.0104719754,0.00729703391
39024,39.028388,1,1,0.0104719754,0.00729444204
39025,39.029386,1,1,0.0104719754,0.00729444204
39026,39.030448,1,1,0.0104719754,0.00729444204
39027,39.031389,1,1,0.0104719754,0.00729444204
39028,39.032384,1,1,0.0104719754,0.00730124628
39029,39.033382,1,1,0.0104719754,0.00730124628
39030,39.034387,1,1,0.0104719754,0.00730124628
39031,39.035385,1,1,0.0104719754,0.00730723096
39032,39.036387,1,1,0.0104719754,0.00730723096
39033,39.037385,1,1,0.0104719754,0.00730723096
39034,39.038387,1,1,0.0104719754,0.00730723096
39035,39.039385,1,1,0.0104719754,0.00730723096
39036,39.040387,1,1,0.0104719754,0.00730908988
39037,39.041385,1,1,0.0104719754,0.00730908988
39038,39.042401,1,1,0.0104719754,0.00730908988
39039,39.043388,1,1,0.0104719754,0.00730908988
39040,39.044397,1,1,0.0104719754,0.0073021478
39041,39.045384,1,1,0.0104719754,0.0073021478
39042,39.046383,1,1,0.0104719754,0.0073021478
39043,39.047386,1,1,0.0104719754,0.007282326
39044,39.048384,1,1,0.0104719754,0.007282326
39045,39.049387,1,1,0.0104719754,0.007282326
39046,39.050386,1,1,0.0104719754,0.007282326
39047,39.051389,1,1,0.0104719754,0.007282326
39048,39.052387,1,1,0.0104719754,0.00727433013
39049,39.053400,1,1,0.0104719754,0.00727433013
39050,39.054382,1,1,0.0104719754,0.00727433013
39051,39.055388,1,1,0.0104719754,0.00727433013
39052,39.056384,1,1,0.0104719754,0.00728038931
39053,39.057382,1,1,0.0104719754,0.00728038931
39054,39.058385,1,1,0.0104719754,0.00728038931
39055,39.059384,1,1,0.0104719754,0.00727142207
